z,mu_q16,mu_q50,mu_q84
0.02,34.605234626380756,34.61237525027312,34.619756034593514
0.03975,36.127283922377565,36.133999174483755,36.141042022335
0.0595,37.03272705007428,37.03914594516998,37.04584694886493
0.07925,37.683761463408594,37.68994790286828,37.69630563463114
0.099,38.19470551638127,38.200751386327454,38.20675185793347
0.11875000000000001,38.61673488155475,38.6225834935976,38.62829203920458
0.13849999999999998,38.97705712815383,38.98267762365015,38.98816409907389
0.15825,39.29189991621491,39.297461435713096,39.30261124140741
0.178,39.571924894307806,39.577352014091005,39.58247619655196
0.19774999999999998,39.82419638567447,39.82969857798676,39.8346817482346
0.2175,40.054214376027204,40.059553399164145,40.06460532156236
0.23725,40.26552312385638,40.27087866645233,40.27596445664705
0.257,40.461092479802254,40.46651577453612,40.47170833543181
0.27675,40.643043708611735,40.648731236544066,40.65397063426041
0.29650000000000004,40.81344842071919,40.81923707131437,40.824619545766126
0.31625000000000003,40.97367727365942,40.97951669275493,40.98508971786689
0.336,41.12483916641981,41.13083880055363,41.13657705563322
0.35575,41.26785280688882,41.27407763356887,41.28011532500066
0.3755,41.40375320934974,41.410199824854246,41.41646114617272
0.39525000000000005,41.533169849220144,41.5398285522204,41.54635273211769
0.41500000000000004,41.65667320718469,41.663461827050384,41.6701780891031
0.43475,41.77474363376367,41.781787088806425,41.78880515466517
0.4545,41.88795020522506,41.895234613101465,41.902423772711686
0.47425,41.99661244574553,42.00419914633148,42.01161233621029
0.494,42.10109979248525,42.1089077939243,42.11670842376109
0.51375,42.20179172925297,42.20978922573234,42.21786012901218
0.5335,42.298794347788245,42.30699465919351,42.31537911837595
0.55325,42.39243309554052,42.40101592707586,42.40959765711232
0.5730000000000001,42.483103644330775,42.49182319262604,42.500748994699144
0.59275,42.57072716852566,42.579831810950246,42.58897907693
0.6125,42.65560569372034,42.66505841666762,42.67441982340617
0.63225,42.73795423870179,42.74774023091523,42.757394716585566
0.652,42.81791600749595,42.82791654100107,42.83788560110232
0.6717500000000001,42.89564052611052,42.905843998328365,42.916106092709995
0.6915,42.97113112121292,42.981614342935146,42.99214085420531
0.71125,43.04469297182968,43.05535317985431,43.06605760784371
0.731,43.11616564786733,43.1271130791979,43.138092673952066
0.75075,43.18587205731876,43.19704723613333,43.20823777375852
0.7705000000000001,43.253782347949866,43.26518058295163,43.27677287832673
0.79025,43.32005682106681,43.33180565557463,43.34361457599415
0.81,43.384745681998425,43.396736853247035,43.408828811191086
0.82975,43.447968916621136,43.46017764168643,43.47249134844829
0.8495,43.50969228815053,43.52216875141714,43.534657867073676
0.8692500000000001,43.57004325711297,43.58275602911546,43.595532720622046
0.889,43.62903242141796,43.64202744436014,43.65496790950509
0.9087500000000001,43.686873798023136,43.699943239734026,43.7132181193257
0.9285,43.74340748435314,43.7567058243621,43.77028690293252
0.94825,43.79881444183159,43.81230158046169,43.82607157228492
0.968,43.8530221408317,43.86670786099619,43.88076715135846
0.98775,43.90620700633566,43.92012939410648,43.93432626831192
1.0075,43.958287764495616,43.97243833543932,43.98686831444668
1.02725,44.00946466972504,44.02373468405595,44.03832431625619
1.047,44.059686880074786,44.074091108658834,44.088903585915695
1.06675,44.10892366433688,44.12347562322042,44.13864344918386
1.0865,44.157226968794895,44.17200918683514,44.187387611367015
1.10625,44.20467773546798,44.21968380683068,44.23522640725064
1.1260000000000001,44.25130040849228,44.266528243145714,44.282239332865245
1.14575,44.297145029865135,44.31253411778977,44.32847891478894
1.1655,44.34217260394991,44.35774418254918,44.3738587732335
1.1852500000000001,44.386439409300344,44.40223263636713,44.418499285818804
1.205,44.429956697924624,44.44600103827963,44.46239002976127
1.22475,44.47278663850464,44.48900211064307,44.50556572543528
1.2445,44.51497400593284,44.53134997576291,44.54804882108935
1.26425,44.556456130421765,44.57302773664782,44.58983064982959
1.284,44.59728329582736,44.61405044096769,44.630994033375465
1.30375,44.637508333511214,44.65445792067962,44.671593914666225
1.3235000000000001,44.677124408814734,44.69421528617507,44.71154313893581
1.34325,44.7161651371622,44.733394962132834,44.75085932483218
1.363,44.754611756924305,44.77199608757382,44.789596558836344
1.38275,44.79250178766575,44.810048021718565,44.82779211957703
1.4025,44.82985170082036,44.847535521280406,44.865438634689376
1.42225,44.86664905080223,44.8845312866419,44.90251955149455
1.442,44.902918082550244,44.92100136041404,44.93913915331606
1.46175,44.93871022413072,44.95696346196897,44.97528314815835
1.4815,44.97399764329236,44.99237641071315,45.01087904578621
1.50125,45.008822637080215,45.027332630869104,45.04598472830276
1.5210000000000001,45.04315660594173,45.06181457893872,45.08061148385911
1.54075,45.07705558310202,45.095822227882636,45.1147712759897
1.5605,45.11053014552349,45.12944129261556,45.14847522425345
1.58025,45.143580349081994,45.16262781225633,45.18176727968514
1.6,45.176229473881634,45.19539035209297,45.21466460761965
