z,mu,sig
0.02597,35.2855,0.288909
0.02579,35.0223,0.372346
0.02595,35.308,0.179587
0.02603,35.2688,0.183373
0.02691,35.1184,0.181369
0.02643,35.2513,0.18676
0.0264,35.3224,0.216057
0.02724,35.2892,0.298907
0.02633,35.2673,0.172357
0.02655,35.3437,0.230789
0.02643,35.313,0.220137
0.0266,35.3042,0.352852
0.02721,35.5236,0.225337
0.02717,35.113,0.172724
0.02676,35.3467,0.289875
0.0277,35.7258,0.321699
0.02704,35.1306,0.184771
0.02759,35.6739,0.216353
0.02748,35.3613,0.190628
0.02827,35.3174,0.173415
0.02775,35.2874,0.292934
0.02831,35.5061,0.163093
0.02794,35.2665,0.177545
0.02834,35.372,0.160301
0.02778,35.1049,0.181734
0.02732,35.4368,0.180322
0.02802,35.1963,0.366604
0.02829,35.5996,0.235009
0.02779,35.6596,0.251383
0.02953,35.3449,0.211378
0.02859,35.4105,0.201911
0.02806,34.9487,0.227749
0.02828,35.2763,0.655117
0.02871,35.4779,0.275376
0.02845,35.0558,0.218663
0.02875,35.5152,0.250819
0.02844,35.6948,0.183345
0.0285,35.2391,0.185823
0.02895,35.6024,0.169987
0.02895,35.6222,0.299966
0.02874,35.472,0.225755
0.0299,35.2761,0.180915
0.02886,35.0939,0.272694
0.02896,35.6079,0.224233
0.0305,35.3638,0.283742
0.03053,35.4654,0.177866
0.029,35.5064,0.190895
0.03048,35.2781,0.194122
0.02935,35.5015,0.190369
0.02988,35.5116,0.190788
0.02934,35.4354,0.185335
0.02962,35.861,0.192522
0.02978,35.5195,0.196088
0.03025,35.5185,0.166012
0.03002,35.5542,0.216273
0.02994,35.4803,0.173804
0.02973,35.5345,0.258248
0.02965,35.3586,0.164518
0.03099,35.3522,0.343157
0.03004,35.6084,0.212671
0.0298,35.4648,0.278746
0.03007,35.4164,0.184841
0.03093,35.4926,0.166476
0.03136,35.6481,0.206672
0.03072,35.9224,0.399302
0.03072,35.406,0.332119
0.03013,35.565,0.183722
0.03107,35.67,0.236835
0.03132,35.5877,0.169094
0.03093,35.5304,0.283582
0.03156,35.6675,0.174531
0.03141,35.4957,0.175954
0.03241,35.772,0.224228
0.03075,35.6231,0.320886
0.03107,35.6461,0.196214
0.03264,35.5602,0.185563
0.03123,35.9119,0.273901
0.03081,35.7017,0.164289
0.03081,35.707,0.22057
