z,mu,sig
0.04438,36.55894,0.14558040939631953
0.04439,36.42577,0.18474029365571548
0.04545,36.57682,0.1708208488446302
0.04575,36.69777,0.10079862548666028
0.04583,36.44319,0.12416706326558587
0.0459,36.48276,0.12722966988874884
0.04625,36.31584,0.19877114000779889
0.04631,36.71175,0.09272778655829114
0.04643,36.44687,0.13438362102577828
0.04664,36.54971,0.14426763323767391
0.04682,36.57974,0.10766017137270403
0.04691,36.75031,0.18548030111038746
0.04738,36.64349,0.17861599144533505
0.0476,36.71459,0.12174732029905216
0.04777,36.71031,0.0977404772855136
0.04777,36.59991,0.12131913946282342
0.04819,36.59722,0.12708430430230164
0.04837,36.70692,0.08955925468649234
0.04865,36.85198,0.11680248113803064
0.0494,36.70592,0.10553274183872982
0.04944,36.83597,0.12459926203633792
0.04989,36.69189,0.11607696756893678
0.05023,36.97734,0.10212518249677696
0.05032,36.64724,0.29855872119233096
0.05044,36.61242,0.13161707184100396
0.05049,36.62315,0.10646363181856987
0.05066,36.87577,0.23534782259455891
0.05106,36.86014,0.10909434265808654
0.05126,36.49961,0.14916860393527856
0.05151,36.79875,0.09081974234713508
0.05222,36.98666,0.1354784647093404
0.05262,37.02932,0.11846300013084253
0.05309,36.98166,0.09766715159151515
0.05316,36.98605,0.11202903373679522
0.05346,36.98406,0.09597722438162087
0.05468,36.90225,0.10722561074668682
0.05469,37.0434,0.0808097277560072
0.05502,36.83115,0.09502231316906572
0.05614,36.99623,0.13197238195925692
0.05653,36.96139,0.16673850455128833
0.05693,37.13672,0.13542188929416102
0.05708,37.07054,0.1486872435685052
0.05824,37.05644,0.10921279274883508
0.0583,37.05872,0.10907144630928847
0.05886,37.15499,0.15163894618467907
0.06092,37.20488,0.11505192914506042
0.06099,37.36659,0.08269211328778579
0.06121,37.37005,0.1514210979355255
0.06153,37.2229,0.11965207729078504
0.06384,37.1975,0.0938839842571671
0.06446,37.20911,0.11883493804433104
0.06533,37.1436,0.10916176803258545
0.06627,37.36253,0.11688866540430684
0.06711,37.52847,0.1084054426677923
0.06725,37.41339,0.12129995094805274
0.06786,37.54095,0.10507917253195326
0.06844,37.39806,0.11448377570642927
0.06886,37.60919,0.09489695674783254
0.06897,37.40023,0.09523984512797151
0.07056,37.36244,0.13292431267454424
0.07073,37.53894,0.08666489543061827
0.07083,37.60601,0.18172210239813977
0.07089,37.37352,0.1960496120883691
0.07091,37.34903,0.1706474365468172
0.07116,37.55578,0.10608405346705037
0.07158,37.45519,0.11202531008660499
0.07193,37.72225,0.11644402088557401
0.07252,37.86168,0.136379113136873
0.07334,37.60807,0.43830642523239377
0.07374,37.36177,0.20025084868734014
0.07393,37.69622,0.09678722074736933
0.07446,37.47561,0.1011468714296196
0.0752,37.78693,0.10866348282656875
0.07575,37.66958,0.11405139367846409
0.07845,37.67794,0.14445005919001902
0.07859,37.95956,0.09149350578046508
0.07931,37.67811,0.10102969315998143
0.0841,38.0676,0.21248550538801464
0.08478,37.92895,0.13723726024662544
0.08704,38.06308,0.1968155077731427
0.09333,38.14556,0.12360778939856501
0.09394,38.19696,0.2746464325273496
0.10442,38.35683,0.1303766681580719
0.10543,38.31943,0.2211270333993562
0.10563,38.54264,0.08800423910244325
0.11048,38.25468,0.11625057462223574
0.11621,41.38301,206.31784827733057
0.11979,39.18096,194.6456265935775
0.13051,38.87889,0.1261538445708255
0.13349,38.98171,0.23078191783586513
0.13537,38.89598,0.16396597970310794
0.14136,39.34775,0.14889161292698794
0.14624,39.29023,0.1341223877658014
0.14631,39.46035,0.16375634827389135
0.1474,39.00672,0.17539611626259002
0.14802,39.16841,0.16740851262704656
0.14812,39.29882,0.09145141004927153
0.1484,39.93288,192.43170186285863
0.1494,39.34373,0.10125891022522412
0.15026,39.18191,0.11236649011159866
0.15062,39.60073,0.32782588915459376
0.15459,39.23567,0.1892195190777104
0.16008,39.12071,0.19549814219066122
0.16008,39.39296,0.17324396353120072
0.16085,39.40043,0.13586347706429422
0.17267,39.59667,0.10361529809830207
0.17273,39.29306,0.08532854680586094
0.17623,40.67369,121.92640707522101
0.178,41.63537,256.2030291070504
0.17978,39.69446,0.15207247088148465
0.18148,39.3871,0.09995904361287176
0.18216,39.8153,0.0979794493758768
0.18383,39.78048,0.09931992196936121
0.18444,40.03362,0.20625679722132798
0.18492,39.8538,0.11135819188546481
0.18937,39.9733,0.12872469110469834
0.19209,40.96771,132.59010804479496
0.19246,39.86546,0.23279668575819543
0.19471,39.99672,0.09941736065697983
0.19555,39.74864,0.11602596088807021
0.19616,39.9279,0.14946123376983078
0.19624,39.94861,0.3644584552455877
0.19771,39.8289,0.11417491887450588
0.19847,40.74201,192.8023036779719
0.19902,40.11619,0.2088040286967663
0.19991,39.82392,0.20514257017986298
0.20173,39.82988,0.10552123767280215
0.20587,39.94322,0.3012392539162186
0.20699,39.99299,0.16000688266446542
0.20753,40.16818,0.10335413344419274
0.20823,39.99434,0.11201946661183493
0.21062,39.95602,0.20931537186742877
0.21094,39.90133,0.12575635013787576
0.21136,40.13584,0.16893328979215436
0.2126,40.01692,0.43700184713568435
0.21303,40.10499,0.18269835357769373
0.21415,41.12692,0.9034583149764023
0.21492,39.79939,0.2640901808095106
0.21511,40.09896,0.10238712614386636
0.21601,40.25572,0.10006237104926106
0.21711,40.18207,0.1715908633931306
0.21781,40.26232,0.1852473484290666
0.21792,40.09856,0.09932780124416325
0.21839,40.05123,0.30006309336537873
0.21847,40.31675,0.17216406738922033
0.21849,40.17131,0.22608010881101415
0.21883,40.10356,0.11545663298399102
0.21885,40.06356,0.11517042328653655
0.21898,40.34771,0.2683733883975831
0.21924,39.95573,0.10907256116915931
0.21942,39.96014,0.21762315340974175
0.21986,40.0411,0.13775265659870228
0.22101,40.45498,0.2833229162986997
0.22157,40.28881,0.11544876092882071
0.22211,40.1587,0.21879254923328628
0.22284,40.09276,0.18374906911328834
0.22305,40.20316,0.22602415711600388
0.22398,40.17738,0.11073079472305795
0.22453,40.24418,0.12537236378085884
0.22482,40.26777,0.10046641229784212
0.22566,40.27718,0.26250267884347395
0.22714,40.14119,0.1679469511482718
0.22806,40.50123,0.19721715341217155
0.22806,40.23671,0.15607177867891428
0.22941,40.24144,0.11175842205400002
0.23048,40.25625,0.1188770326850397
0.23057,42.30845,238.61200460105962
0.23079,40.29796,0.1252382114212751
0.23171,40.15341,0.18266637922726775
0.23212,40.32782,0.11856271589331951
0.23279,40.78688,201.50050543040064
0.23332,40.44286,0.12366907293256467
0.23355,40.2262,0.1846058669165203
0.2338,40.15655,0.24139486821388728
0.2347,40.35195,0.1480527757254149
0.2348,40.97115,111.26642415284138
0.23482,40.24048,0.15137319082321019
0.23532,40.59127,0.11260076775937186
0.23707,40.5112,0.14869802453294395
0.2371,40.3202,0.13256101085915117
0.2372,40.46564,0.10982009652153836
0.23734,40.33508,0.11589956169028422
0.23747,40.41081,0.1494169816319417
0.23891,40.39397,0.17880878753573606
0.23928,40.38821,0.10945142347178495
0.23954,40.44745,0.11471215323582763
0.24003,40.4215,0.09465740541552996
0.24171,40.38161,0.09292243485832688
0.24283,40.52226,0.12268204473353059
